geoid,land,water
16043,1192932.842500111,20618.844981047034
16045,358251.1673247901,3087.7776844269383
16047,466741.1981140934,3105.8642997286784
16049,5425588.306736581,16692.886830777443
16051,699954.3539929723,7701.8673737169065
16053,382367.1708435676,3249.953791334516
16055,792035.805785226,45720.245078900676
16057,688554.2628111672,585.7183099983691
16059,2920796.640852414,3486.6180198969078
16061,306444.3106507267,579.5913374814053
16063,768855.6535190246,2867.921301947683
16065,300330.72036097123,2594.808567630212
16067,484489.0312489189,3441.794378851752
16069,542904.0475825702,5272.984733843029
16071,767328.0649688895,987.2439372748254
16073,4907647.31742635,18316.82242528775
16075,260413.58262949545,2192.0039240299884
16077,898444.6958876759,24517.307492722754
16079,1687903.545464879,3496.9514636038803
16081,287417.8889311713,708.8152295854069
16083,1229895.2138200975,4463.5035558432955
16085,2345676.180050706,43751.94916552586
16087,929824.6951957814,13152.91658223907
17001,547331.0880534537,10325.132324814795
17003,150733.3935446247,10931.238293392902
17005,243378.48331793043,1587.9850056587081
17007,179668.33100230797,827.3159931403607
17009,195588.25336186573,1022.8443781104362
17011,556180.8389714494,2861.0863731386803
17013,162447.65447779265,19041.22307171486
17015,284840.06983191904,13798.710605259386
17017,240518.7589884503,5085.806526541565
17019,637465.4868218816,1505.3626762477575
17021,454001.0917106102,4008.4198613245826
17023,320909.7433565777,2173.7127056532718
17025,299728.388676653,810.0727477599917
17027,303401.62446934165,18691.666378377307
17029,325303.86324211856,1144.5478716832308
17031,604782.3977108177,441441.71258704277
17033,283925.05053300585,1398.6016318824966
17035,221456.4099079286,625.4903801960038
17037,404070.403226205,2111.5736645201464
17039,254430.24369511177,4823.455963388898
17041,266665.16558516974,357.98174387055644
17043,209600.08500417607,5655.557889326539
17045,398961.66632895626,395.4722920980711
17047,142347.89441690594,193.03929466302267
17049,306417.2368206461,786.5893556979979
17051,458549.9873976367,5669.13310566711
17053,310789.035943917,405.3231394216751
17055,261689.58204632727,14434.269779532773
17057,553980.3188150813,10866.03292429192
17059,206765.2352688257,3271.2661174342575
17061,347531.9919641401,2081.9581107327654
17063,267575.60108330904,7938.42855942632
17065,278186.1117014179,783.985608595306
17067,507984.1076785458,13228.979257992616
17069,113593.43639265999,2616.5614822356097
17071,242477.80081347018,10462.56653306514
17073,526717.5224742146,1695.6961693757628
17075,715068.156793168,1044.2266349713111
17077,373805.6683453344,11716.761884522815
17079,316489.3463080017,2306.6053681125613
17081,365546.2284338969,8075.394503392754
17083,236339.55980686258,5022.206846789857
17085,384579.44851069717,11311.690545262252
17087,220106.71582412042,3165.7756878172213
17089,332904.262564062,2662.778549295009
17091,433010.1481148347,3068.700671631833
17093,204960.62008569608,1270.448199344677
17095,458505.24777234695,2183.013002673678
17097,284152.8824817266,591616.2545776231
17099,726486.9012024137,8325.784682445155
17101,238193.77591515396,1254.7451604453822
17103,463899.44277785736,2627.835655298182
17105,668305.4106146494,1087.5990273940783
17107,395555.77880134224,556.6626965103809
17109,377220.38568173844,497.31273135220886
17111,386061.51015849324,4900.818659405069
17113,757273.7932619364,1937.9909361826205
17115,371639.6178765759,3313.572498183777
17117,552268.1874342082,3027.8393618756268
17119,458088.47106151434,15870.345650702026
17121,366320.7392892267,2342.937981546186
17123,247546.95492307615,7504.167428574252
17125,345111.7901286429,15504.675723894574
17127,151819.24034930786,2941.4716595088535
17129,201239.7782478267,652.6245039363853
17131,359167.4485897708,4796.293669659934
17133,246415.1791759537,8331.854079459135
17135,450358.94767795276,3833.3332509649454
17137,364034.0718482972,2240.006325892173
17139,215003.29465313847,5461.808908635337
17141,485489.22843883897,2823.1836534992563
17143,395982.14937012893,7587.667475524233
17145,282734.298937942,3315.2088285732643
17147,281068.55438537535,186.89700162595196
17149,532095.9143632347,11189.838788591649
17151,236012.53045571133,3540.652011683132
17153,127478.45613636251,2588.0714924657636
17155,102502.64649629589,7720.314515451486
17157,368309.89680888393,13900.87944727517
17159,230411.87686255516,1201.8515589864735
17161,273573.9504208201,15250.105266799445
17163,420983.15335840627,10391.87295829359
17165,243091.07159624994,4447.802987995631
17167,555712.6994756429,5579.071922428747
17169,279854.4296071522,2597.475326549473
17171,160584.06665908877,1189.244500674597
17173,485462.34858631133,6101.803867690011
17175,184370.47241565064,175.1246645547412
17177,361311.1432073262,342.4702114725985
17179,413711.5697108375,7369.245044305955
17181,264614.0313724715,5560.425613932777
17183,574955.2794018078,1861.81162679213
17185,142882.2907142822,2721.125761701665
17187,347139.13725703384,413.68740208457916
17189,360046.5810529645,853.6887858734921
17191,456841.0545459937,1069.7096020124245
